醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8358141,3784,2342,2020/03/12 10:53:44
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,(083)623995,54,369,2020/03/12 10:53:44
2101010013,松山健康服務中心,臺北市松山區八德路４段６９４號１、２樓,(02)27653147,0,2450,2020/03/12 10:53:44
2101020019,大安健康服務中心,臺北市大安區辛亥路３段１５號,(02)27390997,18,1618,2020/03/12 10:53:44
2101090011,大同健康服務中心,臺北市大同區昌吉街５２號１至２樓,(02)25948971,0,1475,2020/03/12 10:53:44
2101100227,中山健康服務中心,臺北市中山區松江路３６７號１樓,(02)25013363,2,2077,2020/03/12 10:53:44
2101110027,內湖健康服務中心,臺北市內湖區民權東路６段９９號,(02)27908387,72,913,2020/03/12 10:53:44
2101120014,南港健康服務中心,臺北市南港區南港路１段３６０號１樓,(02)27868756,0,2317,2020/03/12 10:53:44
2101150012,士林健康服務中心,臺北市士林區中正路４３９號１樓,(02)28836268,57,2080,2020/03/12 10:53:44
2101161033,北投健康服務中心,臺北市北投區石牌路２段１１１號,(02)28261026,0,2552,2020/03/12 10:53:44
2101170050,信義健康服務中心,臺北市信義區信義路５段１５號,(02)87804152,0,2229,2020/03/12 10:53:44
2101180038,中正健康服務中心,臺北市中正區牯嶺街２４號,(02)23210168,0,2314,2020/03/12 10:53:44
2101191068,萬華健康服務中心,臺北市萬華區東園街１５２號,(02)23395384,0,1660,2020/03/12 10:53:44
2101200017,政大(文山健康服務中心),臺北市文山區木柵路３段２２０號,(02)22343501,0,2064,2020/03/12 10:53:44
2303240013,臺中市中西區衛生所,臺中市西區民權路１０５號,(04)22223811,2052,1553,2020/03/12 10:53:44
2311010010,基隆市中正區衛生所,基隆市中正區中正路２３６號２樓,(02)24621632,405,2800,2020/03/12 10:53:44
2311020016,基隆市七堵區衛生所,基隆市七堵區光明路２１－１（１－２樓）,(02)24562008,0,2975,2020/03/12 10:53:44
2311030012,基隆市暖暖區衛生所,基隆市暖暖區暖暖街２８１巷９８號,(02)24572630,1345,2608,2020/03/12 10:53:44
2311040018,基隆市仁愛區衛生所,基隆市仁愛區光一路２６號,(02)24311592,0,3278,2020/03/12 10:53:44
2311050014,基隆市中山區衛生所,基隆市中山區中山二路１５號,(02)24229860,975,2458,2020/03/12 10:53:44
2311060010,基隆市安樂區衛生所,基隆市安樂區安樂路２段１６４號１樓前棟,(02)24318061,0,2297,2020/03/12 10:53:44
2311070016,基隆市信義區衛生所,基隆市信義區信一路６９號,(02)24221633,1429,3379,2020/03/12 10:53:44
2312010014,新竹市東區衛生所,新竹市東區民族路４０之２號,(03)5236158,0,1215,2020/03/12 10:53:44
2312041028,新竹市北區衛生所,新竹市北區國華街六十九號一樓,(03)5353969,600,857,2020/03/12 10:53:44
2312050018,新竹市香山衛生所,新竹市香山區牛埔里育德街１８８號２樓,(03)5388109,0,353,2020/03/12 10:53:44
2317020010,臺中市東區衛生所,臺中市東區信義街１４２號,(04)22834121,0,2341,2020/03/12 10:53:44
2317040012,臺中市南區衛生所,臺中市南區工學路７２號２樓,(04)22629735,378,1915,2020/03/12 10:53:44
